麓景嘉园北里 2室1厅 东 西,麓景嘉园北里,海淀其它,2室1厅 ,84.71, 东 西 , 精装 ,6, 2015年 , 板楼,32, 4个月以前发布,3000000.0,"35,415元/平",VR看装修 房本满五年 随时看房 
百旺府三区，中间楼层，毛坯，满五唯一，有钥匙,冠城大通百旺府,海淀北部新区,3室2厅 ,140.77, 南 北 , 毛坯 ,6, 2015年 , 板楼,50, 3个月以前发布,12280000.0,"87,235元/平",VR房源 房本满五年 随时看房 
永泰园南向大三居，户型好没浪费，看房方便。,永泰园新地标,清河,3室2厅 ,159.12, 南 , 简装 ,31, 2002年 , 塔楼,62, 3个月以前发布,9380000.0,"58,950元/平",近地铁 VR看装修 房本满五年 随时看房 
世华龙樾三期 上跃 低密度板楼 小区安静 诚售,世华龙樾三期,清河,5室2厅 ,139.71, 南 北 , 精装 ,6, 2017年 , 板楼,8, 3个月以前发布,23800000.0,"170,353元/平",近地铁 VR房源 房本满五年 
上地东里 3室2厅 南 北,上地东里,上地,3室2厅 ,140.47, 南 北 , 精装 ,5, 2002年 , 板楼,11, 3个月以前发布,9800000.0,"69,766元/平",近地铁 VR看装修 房本满五年 
水岸名居小区，半壁街南路18号院,水岸名居,紫竹桥,5室2厅 ,281.57, 北 南 , 精装 ,10, 2006年 , 板塔结合,2, 3个月以前发布,34900000.0,"123,948元/平",近地铁 VR房源 房本满两年 
京泉馨苑 南北通透大四居室 采光好南北通透不临街,京泉馨苑,西山,4室2厅 ,129.36, 南 北 , 精装 ,5, 2005年 , 板楼,8, 3个月以前发布,9700000.0,"74,985元/平",VR房源 房本满五年 
玉海园二里 园中园 电梯三居室 双卫 看房方便随时签约,玉海园二里,玉泉路,3室2厅 ,126.32, 南 西 , 简装 ,11, 2001年 , 板塔结合,17, 3个月以前发布,9680000.0,"76,631元/平",VR看装修 房本满两年 
得房率87% 曙光花园 置业园 南向大四居 诚心出售,曙光花园,四季青,4室2厅 ,210.66, 西南 , 简装 ,16, 2011年 , 板塔结合,17, 3个月以前发布,18200000.0,"86,396元/平",近地铁 VR房源 房本满五年 
紫竹桥 可优化4居 带车位 前后观花园不临街  中间楼层,世纪新景,紫竹桥,3室2厅 ,184.08, 南 北 , 精装 ,18, 2004年 , 板楼,25, 3个月以前发布,18300000.0,"99,414元/平",VR房源 房本满五年 
店长推荐：东南两居 双明卫 大卧室 户型居家好利用,今典花园,小西天,2室1厅 ,103.4, 东 南 , 简装 ,23, 1998年 , 塔楼,17, 3个月以前发布,12190000.0,"117,892元/平",VR房源 房本满五年 
紫金庄园 大户型 电梯房 采光好 诚心出售 随时签约,紫金庄园,苏州桥,6室2厅 ,360.9, 东北 , 毛坯 ,22, 1998年 , 塔楼,5, 3个月以前发布,17000000.0,"47,105元/平",近地铁 VR房源 房本满两年 
海淀的金隅山墅 精装修上叠拼  2008年,金隅山墅,玉泉路,4室2厅 ,204.43, 南 北 , 精装 ,4, 2008年 , 暂无数据,20, 3个月以前发布,16800000.0,"82,180元/平",VR房源 房本满五年 
半山枫林香山85号院 7室2厅 南 北,半山枫林香山85号院,海淀北部新区,7室2厅 ,455.65, 南 北 , 毛坯 ,3, 2003年 , 板楼,1, 3个月以前发布,32000000.0,"70,230元/平",VR房源 房本满五年 
车公庄 改善户型三居双卫设计 南北通透 地铁三轨换乘,车公庄西路14号院,甘家口,3室2厅 ,128.9, 南 北 , 精装 ,7, 1990年 , 板楼,23, 3个月以前发布,12300000.0,"95,423元/平",近地铁 VR房源 房本满五年 
林大北路9号院，满五唯一，精装修，看房方便，价可谈,林大北路9号院,学院路,2室1厅 ,60.54, 南 北 , 精装 ,6, 1998年 , 板楼,6, 3个月以前发布,3790000.0,"62,604元/平",近地铁 VR房源 房本满五年 
师大北路21号院 3室1厅 南 北,师大北路21号院,小西天,3室1厅 ,82.71, 南 北 , 精装 ,16, 1999年 , 板塔结合,28, 3个月以前发布,9700000.0,"117,278元/平",VR看装修 房本满五年 随时看房 
万泉庄小区中间楼层三层，把边全明两居室，不临街,万泉庄小区,苏州桥,2室1厅 ,60.6, 东 南 北 , 精装 ,6, 1991年 , 板楼,41, 2个月以前发布,6300000.0,"103,961元/平",近地铁 VR房源 房本满五年 
北小马厂满五年央产房，东南向大两居室,北小马厂,军博,3室2厅 ,96.18, 东 南 , 简装 ,14, 1999年 , 板塔结合,16,17,9500000.0,"98,774元/平",VR看装修 
成本价房，带电梯，五层，中间位置，视野好,梅园,马连洼,2室1厅 ,59.88, 南 北 , 简装 ,6, 2001年 , 板楼,4,11,4980000.0,"83,167元/平",近地铁 VR看装修 
南北通透，楼层高，视野好，首套契税1%,清缘里中区,清河,2室1厅 ,45.54, 南 北 , 简装 ,10, 1998年 , 板楼,72, 2个月以前发布,3300000.0,"72,464元/平",VR看装修 随时看房 
央产房  南北通透  大户型  明厅,青云北区,双榆树,3室1厅 ,82.1, 南 北 , 简装 ,6, 1993年 , 板楼,6, 1个月以前发布,7300000.0,"88,916元/平",近地铁 VR房源 随时看房 
安宁佳园东南两居室、业主诚心卖、高楼层采光好。,安宁佳园,安宁庄,2室1厅 ,85.04, 东南 , 其他 ,18, 2007年 , 板塔结合,16, 2个月以前发布,6800000.0,"79,963元/平",VR看装修 房本满两年 
明光村小区南向两居中间楼层装修好诚意出售采光好,明光村小区,小西天,2室1厅 ,50.6, 南 , 精装 ,5, 1980年 , 板楼,16, 1个月以前发布,4350000.0,"85,969元/平",VR房源 房本满五年 
双榆树东里 双南向两居 格局好,双榆树东里,双榆树,2室1厅 ,49.9, 南 , 简装 ,6, 1981年 , 板楼,9, 2个月以前发布,5180000.0,"103,808元/平",近地铁 VR看装修 房本满两年 
铁建大院，南北三居，有电梯，近地铁，环境好，配套好,铁建大院,玉泉路,3室1厅 ,122.57, 南 北 , 精装 ,13, 1998年 , 板楼,6,5,12800000.0,"104,431元/平",近地铁 VR看装修 房本满五年 
海淀区铁建大院电梯三居室诚心出售,铁建大院,玉泉路,3室2厅 ,122.57, 南 北 , 简装 ,13, 2000年 , 板楼,23, 1个月以前发布,12900000.0,"105,246元/平",近地铁 VR看装修 房本满五年 
富力桃园B区 全明格局 采光视线好 户型方正 满五唯一,富力桃园B区,西三旗,2室1厅 ,64.18, 南 西南 , 其他 ,11, 2007年 , 板楼,10,12,5500000.0,"85,697元/平",VR房源 房本满五年 
店长推荐，中间楼层，有车位，满五年央产房，无抵押,蓟门北里,知春路,3室1厅 ,55.8, 南 北 , 其他 ,6, 1982年 , 板楼,8,18,4990000.0,"89,427元/平",近地铁 VR看装修 
中关村芙蓉里南北三居室 看房随时 随时签约,芙蓉里,圆明园,3室1厅 ,57.5, 南 北 , 精装 ,6, 1985年 , 板楼,47, 11个月以前发布,6080000.0,"105,740元/平",近地铁 房本满两年 
橡树湾二期  低密度洋房 精装修 位置安静 保养好,橡树湾二期,清河,4室1厅 ,210.34, 南 北 , 精装 ,9, 2008年 , 板楼,16, 5个月以前发布,27000000.0,"128,364元/平",近地铁 房本满五年 
iMOMA 东南朝向 面积大 精装修 注册办公 出租都可以,iMOMA,上地,1房间1卫 ,59.64, 东南 , 精装 ,8, 2011年 , 板塔结合,8, 7个月以前发布,1650000.0,"27,666元/平",近地铁 房本满五年 
2009年 中海学院派 管理好 停车方便,学院派,小西天,1房间1卫 ,65.19, 东 , 精装 ,21, 2009年 , 塔楼,44, 一年前发布,3300000.0,"50,622元/平",房本满五年 
【大区精选】北里新上一居室不临街好楼层业主诚意出售,双榆树北里,双榆树,1室1厅 ,39.2, 南 , 其他 ,6, 1985年 , 板楼,1, 1个月以前发布,5080000.0,"129,592元/平",近地铁 房本满两年 
清缘里中区南北两居，房改房无遮挡，满两年，好房,清缘里中区,清河,2室1厅 ,71.72, 南 北 , 精装 ,10, 1998年 , 板楼,5,1,4500000.0,"62,745元/平",房本满两年 
颐源居小区 洋房板楼三居室 客厅面宽大 南向采光足,颐源居小区,公主坟,3室2厅 ,140.12, 南 北 , 精装 ,7, 1999年 , 板楼,6,9,16800000.0,"119,898元/平",近地铁 
富力桃园C区 满五年唯一 正对人工湖 精装自住,富力桃园C区,西三旗,2室1厅 ,132.29, 南 西 北 , 精装 ,20, 2011年 , 板塔结合,10, 3个月以前发布,11000000.0,"83,151元/平",VR房源 房本满五年 
城华园 满五年唯一 西北向温馨两居室 不临街 交通便利,城华园,学院路,2室1厅 ,55.45, 西北 , 精装 ,6, 1996年 , 板楼,43, 3个月以前发布,4700000.0,"84,762元/平",近地铁 VR看装修 房本满五年 
满二年高YZ，精装修，中间楼层，成熟社区好停车，,友谊社区,苏州桥,2室1厅 ,57.62, 南 , 精装 ,4, 1958年 , 板楼,129, 3个月以前发布,5290000.0,"91,809元/平",近地铁 VR看装修 房本满两年 
世纪新景04年小户型房子，高楼层，视野很棒,世纪新景,紫竹桥,1室1厅 ,80.22, 西北 , 精装 ,22, 2004年 , 塔楼,3, 3个月以前发布,7500000.0,"93,493元/平",VR看装修 房本满五年 
金隅美和园 东西通透三居室 满五唯一 诚意出售,金隅美和园,清河,3室1厅 ,77.47, 东 西 , 精装 ,9, 2008年 , 板楼,30, 3个月以前发布,6500000.0,"83,904元/平",VR看装修 房本满五年 
门头馨村北二区 满五唯一2居室 商品房低楼层只有契税,门头馨村北二区,西山,2室2厅 ,92.92, 南 北 , 简装 ,3, 2009年 , 板楼,1, 3个月以前发布,5800000.0,"62,420元/平",VR房源 房本满五年 
曙光花园客厅和双卧室均朝南的两居，高楼层采光好,曙光花园,四季青,2室1厅 ,101.84, 西南 , 简装 ,17, 2000年 , 塔楼,18, 3个月以前发布,10800000.0,"106,049元/平",VR房源 房本满五年 
海淀九号，东向正规一居，满五唯一，高楼层视野好,海淀九号,六里桥,1室1厅 ,65.39, 东 , 精装 ,35, 2012年 , 塔楼,4, 3个月以前发布,5990000.0,"91,605元/平",VR看装修 房本满五年 
万寿路西街5号院 双南向两居 高楼层有电梯,万寿路西街5号院,万寿路,2室1厅 ,67.5, 南 北 , 精装 ,18, 1994年 , 塔楼,8, 3个月以前发布,9500000.0,"140,741元/平",近地铁 VR看装修 房本满五年 
中鑫嘉园一期 两居室 户型方正 落地飘窗 两梯六户,中鑫嘉园,牡丹园,2室1厅 ,102.99, 南 西 , 精装 ,23, 2001年 , 塔楼,32, 3个月以前发布,8880000.0,"86,222元/平",近地铁 VR房源 房本满五年 随时看房 
牡丹园东里南北通透两经典两居室出售,牡丹园东里,牡丹园,2室1厅 ,61.7, 南 北 , 精装 ,6, 1989年 , 板楼,7, 3个月以前发布,6150000.0,"99,676元/平",近地铁 VR房源 房本满两年 
郦城二区 小区中间 南北通透复式，满五年 安静不临街,郦城二区,四季青,3室2厅 ,187.67, 南 北 , 简装 ,4, 2003年 , 板楼,6, 2个月以前发布,23000000.0,"122,556元/平",VR房源 房本满五年 
上第MOMA一层采光好，三面都有窗户 居住舒适,上第MOMA,上地,3室2厅 ,156.01, 南 北 , 精装 ,9, 2007年 , 板楼,6, 3个月以前发布,13000000.0,"83,328元/平",VR看装修 房本满五年 
花园路3号院，00年建成，三居两卫，高层，户型方正,花园路3号院,牡丹园,3室1厅 ,131.06, 西 北 , 简装 ,24, 2000年 , 塔楼,8, 3个月以前发布,13500000.0,"103,007元/平",近地铁 VR看装修 房本满五年 
康桥水郡南北三居 不临街很安静 售房诚意十足看房随时,康桥水郡,万柳,3室1厅 ,160.59, 南 北 , 简装 ,16, 2003年 , 板楼,10, 3个月以前发布,25000000.0,"155,676元/平",VR看装修 房本满五年 
定慧北里 有车位 四居室南北通透采光视野好,定慧北里,定慧寺,4室1厅 ,164.26, 南 北 , 简装 ,6, 1996年 , 板楼,9, 4个月以前发布,11490000.0,"69,951元/平",近地铁 VR房源 房本满五年 
远大园三区  业主精心装修 户型好 通透格局,远大园三区,世纪城,3室2厅 ,193.21, 西南 , 精装 ,17, 2001年 , 塔楼,3, 4个月以前发布,22500000.0,"116,454元/平",近地铁 VR看装修 房本满两年 
西四环：客厅三卧朝南5居，南北通透，二次装修,瑞新里小区,定慧寺,5室1厅 ,231.59, 南 北 , 精装 ,15, 2007年 , 板塔结合,7, 4个月以前发布,32000000.0,"138,176元/平",近地铁 VR看装修 房本满两年 
建设部大院，万科物业，精装电梯部长楼4居室,建设部大院,甘家口,4室2厅 ,148.33, 西南 , 精装 ,20, 1998年 , 塔楼,24, 4个月以前发布,19180000.0,"129,307元/平",近地铁 VR看装修 房本满五年 
碧森里小区商品房大复式 东西通透视野开阔 看房方便,碧森里,田村,4室2厅 ,211.06, 东 西 , 其他 ,9, 2004年 , 板楼,5, 4个月以前发布,15900000.0,"75,335元/平",近地铁 VR房源 房本满五年 
橡树湾二期  高层观景 视野开阔 小区中间位置 随时看,橡树湾二期,清河,3室2厅 ,139.51, 南 , 其他 ,22, 2008年 , 板塔结合,15, 4个月以前发布,18800000.0,"134,758元/平",近地铁 VR看装修 房本满五年 随时看房 
太阳园南向复式结构，很少出房，层高3.1米,太阳园,知春路,4室1厅 ,193.6, 南 , 精装 ,22, 2001年 , 塔楼,9, 4个月以前发布,26000000.0,"134,298元/平",近地铁 VR房源 房本满五年 
皂君庙丙4号院 中间层 南北向 三代同住 看房方便,皂君庙丙4号院,皂君庙,5室2厅 ,74.46, 东 南 北 , 简装 ,6, 2001年 , 板塔结合,2, 3个月以前发布,9900000.0,"132,958元/平",近地铁 VR房源 房本满两年 
金隅翡丽蓝爵堡 4室2厅 南 西 北,金隅翡丽蓝爵堡,西三旗,4室2厅 ,243.03, 南 西 北 , 精装 ,6, 2016年 , 板楼,3, 4个月以前发布,25800000.0,"106,160元/平",VR房源 房本满五年 
世纪新景 南向复式 中间层 采光好,世纪新景,紫竹桥,3室3厅 ,223.79, 南 , 精装 ,21, 2004年 , 板楼,10, 4个月以前发布,20800000.0,"92,945元/平",VR房源 房本满五年 
智学苑带电梯三居室，临地铁，交通便利,智学苑,西二旗,3室1厅 ,126.65, 东南 , 精装 ,24, 2001年 , 塔楼,22, 4个月以前发布,7050000.0,"55,666元/平",近地铁 VR看装修 房本满五年 
紫金庄园，满五年，家庭名下一套，业主诚心出售,紫金庄园,苏州桥,3室2厅 ,179.8, 西 , 精装 ,22, 1998年 , 塔楼,7, 4个月以前发布,14500000.0,"80,646元/平",近地铁 VR房源 房本满两年 
上第MOMA 优质三居 居住舒适 看房方便,上第MOMA,上地,3室2厅 ,145.46, 南 北 , 精装 ,10, 2008年 , 板楼,7, 3个月以前发布,12700000.0,"87,310元/平",VR看装修 房本满五年 
学院路 清林苑 南北通透 洋房社区 一梯两户 全明格局,清林苑,学院路,3室2厅 ,164.24, 南 北 , 精装 ,7, 2002年 , 板楼,8, 4个月以前发布,16700000.0,"101,681元/平",近地铁 VR房源 房本满五年 
静淑东里东西通透大客厅两居 有电梯 业主换房诚意出售,静淑东里,学院路,2室1厅 ,85.18, 东 西 , 简装 ,14, 1999年 , 板楼,58, 3个月以前发布,6050000.0,"71,027元/平",近地铁 VR房源 房本满五年 随时看房 
黄庄小区带电梯东南向两居室 出房量少 看房方便,黄庄小区,中关村,2室1厅 ,61.5, 东 南 , 其他 ,16, 1983年 , 塔楼,10, 3个月以前发布,8800000.0,"143,090元/平",近地铁 VR看装修 房本满五年 随时看房 
积水潭地铁 96年建房 拎包入住 一室一厅 租金7000,志强北园,小西天,1室1厅 ,45.5, 东 , 精装 ,6, 1996年 , 板楼,20, 3个月以前发布,3900000.0,"85,715元/平",近地铁 VR看装修 房本满两年 
建材局分房，南北通透，四室两卫，2000年楼龄新 精装,增光路36号院,甘家口,4室1厅 ,110.87, 南 北 , 精装 ,14, 1999年 , 板楼,122, 4个月以前发布,11300000.0,"101,922元/平",近地铁 VR看装修 房本满五年 随时看房 
吴家村路10号院海淀产权正规3居室,吴家村路10号院,六里桥,3室1厅 ,75.1, 东 西 , 简装 ,6, 1996年 , 板楼,0, 4个月以前发布,6000000.0,"79,894元/平",VR房源 房本满五年 随时看房 
强佑清河新城府学上院眼睛户型三居室,强佑清河新城府学上院,清河,3室1厅 ,128.27, 东南 , 精装 ,27, 2009年 , 板塔结合,11, 3个月以前发布,11860000.0,"92,462元/平",VR看装修 房本满五年 随时看房 
天兆家园南北两居室  两梯四户 采光视野无遮挡 观公园,天兆家园,小西天,2室2厅 ,125.25, 南 北 , 精装 ,22, 2003年 , 板楼,10, 3个月以前发布,14550000.0,"116,168元/平",VR房源 房本满五年 随时看房 
国兴家园高楼层采光视野好，地铁6/9/16号线出行方便,国兴家园,甘家口,3室1厅 ,149.48, 西 南 , 精装 ,24, 2000年 , 塔楼,23, 3个月以前发布,18500000.0,"123,763元/平",近地铁 VR看装修 房本满五年 
主卧室朝南不临街南北通透视野好采光好客厅朝南,建西苑南里,杨庄,3室2厅 ,107.26, 南 北 , 其他 ,7, 1999年 , 板楼,10, 3个月以前发布,6300000.0,"58,736元/平",VR房源 房本满五年 
定慧寺，五路居，新装修亮甲店三居，方便看房,亮甲店小区,定慧寺,3室1厅 ,77.45, 东北 , 其他 ,7, 1999年 , 板楼,5, 3个月以前发布,4250000.0,"54,875元/平",近地铁 VR房源 房本满两年 
"海淀区建西苑南里中间楼层三居室,满五年唯一商品房",建西苑南里,杨庄,3室2厅 ,112.88, 南 北 , 其他 ,6, 2007年 , 板楼,25, 3个月以前发布,8300000.0,"73,530元/平",VR房源 房本满五年 
领秀硅谷 创业者家园 联排别墅 满五年唯一 有花园,领秀硅谷,西二旗,4室3厅 ,207.49, 南 北 , 简装 ,3, 暂无数据 , 联排别墅 ,40, 3个月以前发布,17300000.0,"83,378元/平",VR房源 房本满五年 随时看房 
金谷园南北通透高采光央产大两居,金谷园,知春路,2室1厅 ,95.04, 南 北 , 精装 ,6, 2002年 , 板楼,14, 3个月以前发布,9690000.0,"101,958元/平",近地铁 VR看装修 房本满五年 
70年商品房，民水民电有燃气，高楼层视野好，满五唯一,远中悦莱,苏州桥,1室1厅 ,93.5, 北 , 精装 ,21, 2005年 , 塔楼,6, 3个月以前发布,8880000.0,"94,974元/平",近地铁 VR房源 房本满五年 随时看房 
花园村小区，南北通透，精装修，满五唯一,花园村小区,甘家口,2室1厅 ,66.3, 南 北 , 精装 ,5, 1966年 , 板楼,3, 3个月以前发布,6630000.0,"100,000元/平",近地铁 VR看装修 房本满五年 
海淀区大一居，停车免费，诚意出售，随时看房,建材城东一里,西三旗,1室1厅 ,62.95, 东南 北 , 精装 ,6, 1996年 , 板楼,2, 3个月以前发布,3380000.0,"53,694元/平",VR看装修 房本满五年 随时看房 
紫竹院南北通透全明格局安静不临街,紫竹院南路20号院,紫竹桥,2室1厅 ,60.3, 南 北 , 简装 ,5, 1981年 , 板楼,6, 3个月以前发布,5800000.0,"96,186元/平",近地铁 VR房源 房本满五年 随时看房 
冠城大通百旺府 三阳三居室 南北通透,冠城大通百旺府,海淀北部新区,3室2厅 ,119.31, 南 北 , 简装 ,11, 2017年 , 板楼,64, 3个月以前发布,10700000.0,"89,683元/平",VR房源 房本满五年 随时看房 
凯盛家园南北通透高楼层采光好无遮挡精装修满五唯一,凯盛家园,海淀北部新区,1室1厅 ,59.0, 南 北 , 精装 ,15, 2013年 , 板塔结合,14, 3个月以前发布,3100000.0,"52,543元/平",VR看装修 房本满五年 随时看房 
双榆树北里 带电梯 南向正规一居 看房方便 诚意出售,双榆树北里,双榆树,1室1厅 ,43.6, 南 , 精装 ,16, 1986年 , 塔楼,5, 3个月以前发布,4650000.0,"106,652元/平",近地铁 VR看装修 房本满五年 
海淀区龙翔路小区西南三居室 满五年唯一 小区独立管理,龙翔路小区,牡丹园,3室1厅 ,77.0, 西南 , 其他 ,18, 1992年 , 塔楼,15, 3个月以前发布,7600000.0,"98,702元/平",近地铁 VR房源 房本满五年 
海淀西三环里  科技部科情所的单位分房 高层 视野开阔,柳林馆,公主坟,3室1厅 ,86.6, 南 西 北 , 精装 ,24, 1989年 , 塔楼,45, 3个月以前发布,9480000.0,"109,469元/平",近地铁 VR看装修 房本满五年 随时看房 
中鑫嘉园 商品房社区 两居室无遮挡 视野开阔 满五唯一,中鑫嘉园,牡丹园,2室1厅 ,101.34, 东南 , 简装 ,25, 2004年 , 塔楼,13, 3个月以前发布,9500000.0,"93,744元/平",VR房源 房本满五年 随时看房 
万泉新新家园2期样板间，小区经典3+1主力户型,万泉新新家园,万柳,3室1厅 ,164.59, 南 北 , 简装 ,6, 2001年 , 板楼,20, 4个月以前发布,27000000.0,"164,044元/平",VR房源 房本满五年 随时看房 
农大家属院  南北向2居加单独的餐厅 满5年 随时看房,中国农业大学,学院路,2室2厅 ,60.17, 南 北 , 精装 ,5, 1986年 , 板楼,7, 3个月以前发布,6000000.0,"99,718元/平",近地铁 VR房源 房本满五年 
莱圳家园正规大二居，南北通透，精装修，地铁西小口近,莱圳家园,清河,2室1厅 ,97.86, 南 北 , 精装 ,19, 2009年 , 板塔结合,26, 3个月以前发布,8990000.0,"91,866元/平",近地铁 VR看装修 房本满两年 
北师大南门，两居带厅，精装修，满五唯一商，价格可谈,学院南路8号,小西天,2室1厅 ,57.9, 南 北 , 精装 ,6, 1982年 , 板楼,7, 3个月以前发布,4900000.0,"84,629元/平",VR房源 房本满五年 
交通便利，海淀产权，不临街，随时签约双地铁,西郊宾馆,五道口,2室1厅 ,51.8, 南 北 , 简装 ,6, 1978年 , 板楼,6, 3个月以前发布,4700000.0,"90,734元/平",近地铁 VR房源 房本满两年 
梅园甲 3室1厅 南 北,梅园甲,马连洼,3室1厅 ,100.32, 南 北 , 其他 ,6, 2000年 , 板楼,12, 3个月以前发布,8480000.0,"84,530元/平",近地铁 VR房源 房本满两年 
此房满五唯一，南北通透中间层，交通方便,羊坊店居民楼,军博,3室1厅 ,59.7, 南 北 , 简装 ,6, 1982年 , 板楼,13, 3个月以前发布,5650000.0,"94,640元/平",近地铁 VR房源 房本满五年 
芳清园 精装修 不临街 采光充足 带电梯,芳清园,清河,2室1厅 ,68.22, 东 , 精装 ,9, 2007年 , 板楼,18, 3个月以前发布,5600000.0,"82,088元/平",VR房源 房本满两年 
"正规两居室带客厅,户型方正无斜角,满五年唯一",颐源居小区,公主坟,2室1厅 ,67.74, 西南 , 精装 ,28, 1999年 , 塔楼,21, 3个月以前发布,8800000.0,"129,909元/平",VR看装修 房本满五年 
紫竹花园品质大平层 文化传承 一梯一户 改善shouxuan,紫竹花园,紫竹桥,3室2厅 ,212.58, 南 北 , 精装 ,15, 2001年 , 板楼,25, 3个月以前发布,16280000.0,"76,583元/平",VR房源 房本满五年 
小南庄 南向两居室 带15平米南向客厅,小南庄社区,苏州桥,2室1厅 ,70.61, 南 , 精装 ,18, 1997年 , 塔楼,14, 3个月以前发布,6980000.0,"98,853元/平",近地铁 VR看装修 房本满五年 
门头馨村北二区 不临街低楼层 商品房 交易成本低,门头馨村北二区,西山,2室1厅 ,71.08, 南 北 , 其他 ,4, 2009年 , 板楼,1, 3个月以前发布,4480000.0,"63,028元/平",VR房源 房本满两年 
城华园 满五年唯一 西北向温馨两居室 不临街 交通便利,城华园,学院路,2室1厅 ,55.45, 西北 , 精装 ,6, 1996年 , 板楼,43, 3个月以前发布,4700000.0,"84,762元/平",近地铁 VR看装修 房本满五年 
满二年高YZ，精装修，中间楼层，成熟社区好停车，,友谊社区,苏州桥,2室1厅 ,57.62, 南 , 精装 ,4, 1958年 , 板楼,129, 3个月以前发布,5290000.0,"91,809元/平",近地铁 VR看装修 房本满两年 
翠叠园，次顶层，眼镜户型，双线通透，带车位,翠叠园,世纪城,3室1厅 ,167.37, 南 北 , 简装 ,13, 2004年 , 板楼,3, 3个月以前发布,23300000.0,"139,213元/平",近地铁 VR看装修 房本满五年 随时看房 
远大园五区 ，前后不临街板楼四居室户型，双通透,远大园五区,世纪城,4室2厅 ,176.79, 南 北 , 简装 ,15, 2001年 , 板楼,6, 4个月以前发布,19600000.0,"110,866元/平",近地铁 VR看装修 房本满五年 
北三环 空中菜园 南北全明三居室 一梯一户,龙翔路小区,牡丹园,3室1厅 ,94.16, 东南 北 , 简装 ,6, 1999年 , 板楼,23, 3个月以前发布,7800000.0,"82,838元/平",近地铁 VR房源 房本满五年 
如园北区 精装三居 位置安静 景观视野开阔,如园北区,西北旺,3室3厅 ,229.33, 南 北 , 精装 ,9, 2016年 , 板楼,7, 3个月以前发布,27500000.0,"119,915元/平",近地铁 VR看装修 房本满五年 
万寿园东南四居室，业主诚心出售，有车位,万寿园,万寿路,4室2厅 ,181.46, 东南 , 精装 ,18, 1997年 , 板塔结合,16, 4个月以前发布,22790000.0,"125,593元/平",VR看装修 房本满五年 
西直门 带电梯两室一厅 满五唯一商品房 看房方便,汇福轩,白石桥,2室1厅 ,83.59, 东 北 , 简装 ,18, 1999年 , 塔楼,17, 3个月以前发布,6980000.0,"83,503元/平",VR房源 房本满五年 
科育小区诚意出售2居，满五唯一全南向，2021高 级精装,科育小区,中关村,2室1厅 ,55.3, 南 , 精装 ,5, 1989年 , 板楼,11, 3个月以前发布,6990000.0,"126,402元/平",近地铁 VR看装修 房本满两年 
新上房源满五唯一南北朝向全明格局楼龄新车位充足,冶金大院,小西天,3室1厅 ,102.8, 南 北 , 简装 ,12, 1997年 , 板楼,33, 4个月以前发布,10550000.0,"102,627元/平",VR看装修 房本满五年 
地铁2号线积水潭精装修 无遮挡采光视野好看房方便,志强北园,小西天,1室1厅 ,45.5, 东 , 精装 ,6, 1996年 , 板楼,8, 3个月以前发布,4050000.0,"89,011元/平",近地铁 VR看装修 房本满五年 随时看房 
普惠南里精装修双南两居室，有大阳台，近地铁和公园,普惠南里,公主坟,2室1厅 ,55.6, 南 , 精装 ,16, 1985年 , 板塔结合,6, 4个月以前发布,6180000.0,"111,152元/平",VR看装修 房本满两年 随时看房 
建设部大院，万科物业，不临街采光好，正对花园,建设部大院,甘家口,1室1厅 ,47.1, 南 , 简装 ,16, 1994年 , 塔楼,9, 4个月以前发布,5990000.0,"127,177元/平",近地铁 VR房源 房本满两年 随时看房 
永安东里精装修两居室看房方便，业主诚意出售,永安东里,定慧寺,2室1厅 ,77.0, 东 西 , 精装 ,5, 1998年 , 板楼,20, 3个月以前发布,6200000.0,"80,520元/平",VR看装修 房本满两年 随时看房 
小营东路7号院首付260万就够，正规3居室，空置有钥匙,小营东路7号院,清河,3室1厅 ,106.19, 南 西 , 简装 ,6, 1999年 , 板楼,23, 10个月以前发布,7480000.0,"70,440元/平",VR看装修 房本满五年 随时看房 
西山壹号院眼睛户型三居视野好，观山好房,西山壹号院南区,西北旺,3室2厅 ,181.0, 南 北 , 精装 ,6, 2011年 , 板楼,25, 5个月以前发布,26990000.0,"149,117元/平",近地铁 VR看装修 房本满五年 随时看房 
铁建大院，高层南北向，央产房，看房随时，诚意出售,铁建大院,玉泉路,3室2厅 ,146.48, 南 北 , 简装 ,14, 2000年 , 板塔结合,22, 4个月以前发布,16680000.0,"113,873元/平",近地铁 VR看装修 房本满五年 
北辰香麓大五居室  看房随时 小区中间位置,北辰香麓,海淀北部新区,5室1厅 ,360.51, 南 北 , 毛坯 ,4, 2010年 , 板楼,40, 一年前发布,18500000.0,"51,317元/平",VR房源 房本满五年 随时看房 
Wehouse 中间位置 双拼别墅 花园大,Wehouse,四季青,6室2厅 ,315.29, 南 北 , 毛坯 ,3, 2005年 , 板楼,129, 一年前发布,50000000.0,"158,585元/平",VR房源 房本满五年 随时看房 
美林花园南向大三居 位置安静 采光充足 视野开阔,美林花园,紫竹桥,3室2厅 ,201.56, 西南 , 其他 ,25, 2000年 , 塔楼,40, 7个月以前发布,20880000.0,"103,592元/平",近地铁 VR房源 房本满五年 随时看房 
