东城区二环内 天坛北门 桥湾地铁站 金鱼池西区南北2居,金鱼池西区,天坛,2室1厅 ,61.85, 南 北 , 精装 ,5, 2002年 , 板楼,56, 3个月以前发布,6050000.0,"97,818元/平",近地铁 VR房源 房本满五年 随时看房 
东城，满五唯一，户型方正，朝南双阳台，优质两室两卫,富莱茵花园,永定门,2室1厅 ,114.17, 南 , 简装 ,21, 2001年 , 塔楼,32, 5个月以前发布,8380000.0,"73,400元/平",近地铁 VR看装修 房本满五年 随时看房 
盛德紫阙 精装修 东南北三居 纯商品房 2017年,盛德紫阙,和平里,3室1厅 ,156.51, 东南 北 , 精装 ,20, 2017年 , 板塔结合,32, 5个月以前发布,18800000.0,"120,121元/平",近地铁 VR房源 房本满两年 随时看房 
工人体育场 中间楼层  正规三居室 看房方便,海晟名苑南区,工体,3室2厅 ,145.58, 东 西 , 简装 ,17, 2005年 , 板塔结合,8, 3个月以前发布,20500000.0,"140,817元/平",近地铁 VR房源 房本满五年 随时看房 
崇文门东大街正规南北三居室，满五唯一无遮挡,崇文门东大街,崇文门,3室1厅 ,76.38, 南 北 , 简装 ,14, 1986年 , 板塔结合,40, 9个月以前发布,7150000.0,"93,611元/平",VR看装修 房本满五年 随时看房 
满五唯一，南北通透小三居，化纤单位，安静小区,仓南胡同12号院,朝阳门内,3室1厅 ,75.11, 南 北 , 精装 ,6, 1988年 , 板楼,12, 7个月以前发布,9200000.0,"122,488元/平",近地铁 VR房源 房本满两年 随时看房 
东城 南岗子 南北高楼层两居 不临街视野好 多贷款,南岗子,崇文门,2室1厅 ,54.6, 南 北 , 简装 ,6, 1981年 , 板楼,10, 4个月以前发布,5280000.0,"96,704元/平",VR看装修 房本满五年 随时看房 
龙潭北里 两居 诚心卖 精装修 随时签约,龙潭北里,左安门,2室1厅 ,58.82, 东 西 北 , 精装 ,5, 1963年 , 板楼,76, 一年前发布,6300000.0,"107,107元/平",VR看装修 房本满五年 
金鱼池中区前后不临街南北通透两居室。,金鱼池中区,天坛,2室1厅 ,72.67, 南 北 , 简装 ,7, 2002年 , 板楼,55, 一年前发布,7190000.0,"98,941元/平",近地铁 VR房源 房本满五年 
安定里 满五唯一 南北 三居室,定安里,永定门,3室1厅 ,69.45, 南 北 , 简装 ,6, 1980年 , 板楼,90, 一年前发布,5650000.0,"81,354元/平",VR看装修 房本满五年 
和平里五区交通方便 户型方正 业主诚心出售,和平里五区,和平里,1室1厅 ,40.57, 西南 , 精装 ,6, 1996年 , 板楼,26, 11个月以前发布,5800000.0,"142,963元/平",近地铁 VR房源 房本满五年 
朝阳门内.豆瓣胡同小区电梯直达业主诚心出售,豆瓣胡同,朝阳门内,2室1厅 ,71.37, 南 北 , 精装 ,14, 2003年 , 板塔结合,25, 6个月以前发布,9790000.0,"137,173元/平",近地铁 VR房源 房本满两年 
龙潭湖畔 左安浦园南北通透大2居 满五唯一,左安浦园,左安门,2室1厅 ,104.35, 南 北 , 精装 ,18, 2004年 , 板楼,25, 9个月以前发布,9570000.0,"91,711元/平",VR看装修 房本满五年 
左安漪园 龙潭湖畔 总价至诚  急售好房！,左安漪园,左安门,3室1厅 ,112.35, 西 , 简装 ,15, 2004年 , 板塔结合,31, 一年前发布,11000000.0,"97,909元/平",近地铁 VR看装修 房本满五年 
六铺炕小区带电梯近地铁满五唯一,六铺炕,安定门,2室1厅 ,61.61, 南 西 , 简装 ,16, 1992年 , 塔楼,6, 11个月以前发布,9500000.0,"154,196元/平",近地铁 VR看装修 房本满五年 
广渠家园南北三居室，楼层好视野宽阔。,广渠家园,广渠门,3室1厅 ,74.99, 南 北 , 简装 ,29, 2009年 , 板塔结合,23, 4个月以前发布,7200000.0,"96,013元/平",VR看装修 房本满五年 随时看房 
西总布胡同 南北通透两居室 业主诚意出售,西总布胡同,建国门内,2室1厅 ,58.47, 南 北 , 简装 ,6, 1997年 , 板楼,38, 5个月以前发布,5950000.0,"101,762元/平",近地铁 VR房源 房本满五年 
六铺炕新登记三居室 田字格户型,六铺炕,安定门,3室1厅 ,69.81, 东 西 , 简装 ,6, 1980年 , 板楼,10, 7个月以前发布,7980000.0,"114,311元/平",近地铁 VR看装修 房本满五年 
430万，二环里，东城区，04年小区，落地窗！,左安浦园,左安门,1室1厅 ,49.36, 北 , 简装 ,16, 2004年 , 塔楼,14, 4个月以前发布,4260000.0,"86,305元/平",VR看装修 房本满五年 
商品房小区禾风相府，人车分流，诚意出售,禾风相府,金宝街,1室0厅 ,38.45, 西 , 精装 ,14, 2004年 , 板楼,6, 3个月以前发布,5050000.0,"131,340元/平",VR房源 房本满五年 随时看房 
东四地铁，朝阳门，满五唯一，朝南，精装一居室,朝阳门内大街,朝阳门内,1室1厅 ,38.69, 南 , 精装 ,6, 1991年 , 板楼,27, 4个月以前发布,4500000.0,"116,310元/平",近地铁 VR房源 房本满五年 
豆瓣胡同 高层板楼 南北两居 中间楼层 满五年 唯一,豆瓣胡同,朝阳门内,2室1厅 ,71.37, 南 北 , 精装 ,14, 2003年 , 板塔结合,6, 3个月以前发布,9800000.0,"137,313元/平",近地铁 VR看装修 房本满五年 
东城区 天坛公园旁 三轨交汇 精装修 中间层,郭庄北里,永定门,1室1厅 ,42.92, 南 , 精装 ,6, 1995年 , 板楼,12, 4个月以前发布,3860000.0,"89,935元/平",近地铁 VR看装修 房本满五年 
鸿安国际大厦 24小时热水 高层视野好 满五年无抵押,鸿安国际大厦,金宝街,3室2厅 ,220.45, 东 西 , 毛坯 ,12, 2004年 , 板塔结合,1, 10个月以前发布,20000000.0,"90,724元/平",VR看装修 房本满五年 随时看房 
东城区2004年商品房 地铁广渠门外600米 高楼层有钥匙,东环居苑,广渠门,2室2厅 ,101.79, 西南 , 精装 ,18, 2004年 , 塔楼,54, 一年前发布,9500000.0,"93,330元/平",VR看装修 房本满五年 随时看房 
东城区 二环内 龙潭西湖西侧 龙潭西里精装两居室,龙潭西里,左安门,2室1厅 ,55.22, 西北 , 精装 ,6, 1980年 , 板塔结合,46, 5个月以前发布,4560000.0,"82,579元/平",近地铁 VR看装修 房本满两年 随时看房 
东城区，双落地阳台正规两居，满五年唯一,西革新里112号院,永定门,2室1厅 ,89.94, 西 北 , 精装 ,19, 2001年 , 塔楼,8, 9个月以前发布,6800000.0,"75,606元/平",VR看装修 房本满五年 
东城区带电梯、有客厅、正南向、精装修两居室,富莱茵花园,永定门,2室1厅 ,58.3, 南 , 精装 ,21, 1995年 , 塔楼,138, 8个月以前发布,4670000.0,"80,103元/平",近地铁 VR看装修 房本满五年 
东城区永定门地铁口满五年唯一，双落地阳台,西革新里112号院,永定门,2室1厅 ,89.94, 东 北 , 简装 ,19, 2001年 , 塔楼,19, 6个月以前发布,6150000.0,"68,379元/平",VR看装修 房本满五年 随时看房 
前门东大街南北三居采光好不临街,前门东大街,前门,3室1厅 ,69.79, 南 北 , 简装 ,10, 1979年 , 板楼,66, 一年前发布,7350000.0,"105,316元/平",近地铁 VR看装修 房本满五年 
地坛公园和平里五区南北精装20万地铁5号线,和平里五区,和平里,2室1厅 ,55.12, 南 北 , 精装 ,6, 1996年 , 板楼,44, 6个月以前发布,7290000.0,"132,257元/平",VR看装修 房本满五年 随时看房 
东城区2005年电梯房，得房率84.92%,景泰西里西区,永定门,2室1厅 ,87.61, 南 北 , 简装 ,10, 2005年 , 板塔结合,140, 5个月以前发布,6990000.0,"79,786元/平",近地铁 VR看装修 房本满五年 随时看房 
营房西街精装修南北通透二居室，楼层好，采光充足！,营房西街,崇文门,2室1厅 ,62.95, 南 北 , 精装 ,6, 1990年 , 板楼,9, 3个月以前发布,5600000.0,"88,960元/平",VR看装修 
此房南北通透格 视野开阔 无遮挡 平层电梯,东直门内大街,东直门,3室1厅 ,90.05, 南 北 , 简装 ,16, 2002年 , 塔楼,15, 3个月以前发布,10000000.0,"111,050元/平",近地铁 VR房源 
北2环 安定门 地铁站朝南正规一居室,安德路47号院,安定门,1室1厅 ,40.6, 南 , 简装 ,7, 1989年 , 板楼,21, 9个月以前发布,5320000.0,"131,035元/平",近地铁 VR房源 房本满五年 随时看房 
火桥北里新上朝东2居室 有电梯诚心卖,火桥北里,左安门,1室1厅 ,61.44, 东 , 简装 ,9, 1992年 , 板塔结合,2, 一年前发布,7200000.0,"117,188元/平",VR房源 房本满五年 随时看房 
景泰西里西区 满五唯一 东西通透,景泰西里西区,永定门,1室1厅 ,64.77, 东 西 , 简装 ,11, 2005年 , 板塔结合,9, 9个月以前发布,5190000.0,"80,130元/平",VR看装修 房本满五年 随时看房 
东城区  公园边上的大三居 精装修 交通便利 配套成熟,华府景园,安定门,3室2厅 ,173.4, 东 南 西 , 精装 ,16, 2001年 , 板塔结合,27, 4个月以前发布,17990000.0,"103,749元/平",近地铁 VR房源 房本满两年 
安外东河沿 中高楼层 正规两居室有客厅 南北通透,安外东河沿,安定门,2室1厅 ,65.16, 南 北 , 简装 ,6, 1998年 , 板楼,14, 11个月以前发布,8800000.0,"135,053元/平",近地铁 VR看装修 房本满两年 
左安漪园精装修2居  观龙潭湖景色,左安漪园,左安门,2室1厅 ,117.61, 东 西 , 精装 ,15, 2004年 , 板楼,36, 一年前发布,12690000.0,"107,899元/平",近地铁 VR看装修 房本满两年 随时看房 
东城，南向两居室，采光好，视野开阔。,沙子口路50号,永定门,2室1厅 ,97.17, 南 , 简装 ,18, 1998年 , 塔楼,5, 10个月以前发布,7400000.0,"76,156元/平",VR看装修 房本满五年 
南匠营南北2居诚意出售随时签约,南弓匠营胡同,朝阳门内,2室1厅 ,67.73, 南 北 , 精装 ,6, 2003年 , 板楼,20, 8个月以前发布,8680000.0,"128,156元/平",近地铁 VR看装修 房本满五年 
东城区 王家园胡同 通透两居室 看房方便,王家园胡同,朝阳门外,2室1厅 ,71.08, 东 西 , 其他 ,6, 1998年 , 板楼,9, 4个月以前发布,6390000.0,"89,899元/平",VR看装修 房本满五年 随时看房 
新景家园东区 1室1厅 南,新景家园东区,崇文门,1室1厅 ,58.87, 南 , 简装 ,16, 2004年 , 板楼,18, 3个月以前发布,6250000.0,"106,167元/平",近地铁 VR房源 随时看房 
东城区奥林匹克文化社区，物业管理好，楼龄新户型好,西革新里108号院,永定门,2室1厅 ,74.5, 南 北 , 精装 ,7, 1995年 , 板楼,82, 8个月以前发布,6300000.0,"84,564元/平",VR看装修 房本满五年 随时看房 
安化南里南北通透两居，正规两室一厅,安化南里,广渠门,2室1厅 ,54.32, 南 北 , 毛坯 ,6, 1980年 , 板楼,16, 6个月以前发布,5090000.0,"93,704元/平",VR看装修 房本满五年 随时看房 
幸福南里 精装修 可以多贷款 龙体培新 方便看 位置好,幸福南里,广渠门,2室1厅 ,50.14, 东北 , 简装 ,6, 1980年 , 板楼,13, 5个月以前发布,4700000.0,"93,738元/平",近地铁 VR房源 房本满两年 
培新街乙5号院 东北两居 中间楼层,培新街乙5号院,广渠门,2室1厅 ,83.64, 东北 , 精装 ,17, 1999年 , 塔楼,22, 一年前发布,8500000.0,"101,627元/平",近地铁 VR看装修 房本满五年 随时看房 
鸿安国际大厦 24小时热水 高层视野好 满五年无抵押,鸿安国际大厦,金宝街,3室2厅 ,220.45, 东 西 , 毛坯 ,12, 2004年 , 板塔结合,1, 10个月以前发布,20000000.0,"90,724元/平",VR看装修 房本满五年 随时看房 
满5唯一双卧朝南，带落地阳台，景观好,京城仁合,广渠门,2室1厅 ,87.28, 西南 , 精装 ,16, 2004年 , 板塔结合,85, 5个月以前发布,9300000.0,"106,554元/平",VR房源 房本满五年 
化工大院 南北通透两居室 满五年 前后不临街 看房方便,化工大院,和平里,2室1厅 ,55.64, 南 北 , 简装 ,5, 1988年 , 板楼,13, 5个月以前发布,6700000.0,"120,417元/平",近地铁 VR看装修 房本满两年 随时看房 
民旺园两居室 满五年唯一 得房率86%,民旺园,和平里,2室1厅 ,55.33, 东 , 精装 ,6, 1990年 , 板楼,11, 4个月以前发布,6270000.0,"113,321元/平",VR看装修 房本满五年 随时看房 
东城区 东革新里40号院  南北向 两居,东革新里40号院,永定门,2室1厅 ,62.8, 南 北 , 简装 ,6, 1985年 , 板楼,18, 5个月以前发布,4590000.0,"73,090元/平",近地铁 VR房源 房本满两年 随时看房 
东城区 建予园 东南向低楼层  两居,建予园,永定门,2室1厅 ,77.79, 东南 , 简装 ,16, 2001年 , 塔楼,72, 一年前发布,5200000.0,"66,847元/平",VR看装修 房本满五年 随时看房 
东城区 二环内 龙潭西湖西侧 龙潭西里精装两居室,龙潭西里,左安门,2室1厅 ,55.22, 西北 , 精装 ,6, 1980年 , 板塔结合,46, 5个月以前发布,4560000.0,"82,579元/平",近地铁 VR看装修 房本满两年 随时看房 
东花市北里中区  西向一居室 精装修 对小区采光好,东花市北里中区,东花市,1室1厅 ,47.72, 西 , 精装 ,6, 1990年 , 塔楼,12, 5个月以前发布,4500000.0,"94,301元/平",近地铁 VR看装修 房本满五年 随时看房 
店长力荐 地坛北里 双南两居室 精装修,地坛北里,和平里,2室1厅 ,54.53, 南 , 精装 ,5, 1990年 , 板楼,33, 5个月以前发布,6800000.0,"124,702元/平",VR看装修 房本满两年 随时看房 
中石油家属楼  东城六铺炕  随时可看,六铺炕,安定门,2室1厅 ,50.34, 东 , 精装 ,6, 1980年 , 板楼,11, 6个月以前发布,5850000.0,"116,210元/平",近地铁 VR房源 房本满五年 随时看房 
东四西大街 2室1厅 南 北,东四西大街,灯市口,2室1厅 ,66.69, 南 北 , 精装 ,5, 1988年 , 板楼,11, 6个月以前发布,6950000.0,"104,214元/平",近地铁 VR看装修 房本满五年 
幸福家园三期 精装两居 正对小区花园 次顶层,幸福家园三期,广渠门,2室1厅 ,70.33, 西 , 精装 ,8, 2005年 , 板楼,62, 一年前发布,8500000.0,"120,859元/平",近地铁 VR看装修 房本满五年 
东城区，带电梯，2居室楼层高视野好,沙子口路72号,永定门,2室1厅 ,66.14, 东 西 , 简装 ,18, 1987年 , 塔楼,32, 9个月以前发布,4900000.0,"74,086元/平",VR房源 房本满五年 
和平里东街9号院 2室1厅 西北,和平里东街9号院,和平里,2室1厅 ,77.61, 西北 , 精装 ,16, 2000年 , 塔楼,22, 11个月以前发布,8300000.0,"106,945元/平",近地铁 VR房源 房本满五年 
人车分流 商品房三居 户型好 采光棒,新景家园西区,崇文门,3室2厅 ,116.4, 西 , 精装 ,12, 2001年 , 板塔结合,14, 4个月以前发布,14500000.0,"124,571元/平",VR看装修 房本满五年 
绿景苑商品房小区，小区前后不临街,绿景苑,广渠门,2室1厅 ,89.28, 西北 , 其他 ,18, 2002年 , 塔楼,18, 11个月以前发布,9200000.0,"103,047元/平",VR看装修 房本满五年 
恒基中心 2室2厅 西,恒基中心,建国门内,2室2厅 ,107.84, 西 , 其他 ,23, 1997年 , 板塔结合,9, 6个月以前发布,9000000.0,"83,457元/平",近地铁 VR房源 房本满五年 
南北通透采光好，无遮挡，中间楼层，小区刚完成改造,东花市大街2号院,东花市,2室1厅 ,54.31, 南 北 , 精装 ,6, 1980年 , 板楼,14, 6个月以前发布,5680000.0,"104,585元/平",VR看装修 房本满五年 
朝阳门内 东四十条  南北两室 小区安静 交通便利,东门仓胡同甲3号院,朝阳门内,2室1厅 ,54.31, 南 北 , 其他 ,6, 1988年 , 板楼,6, 11个月以前发布,6690000.0,"123,182元/平",近地铁 VR看装修 房本满两年 
南北通透两居室 中间楼层 前后无遮挡 楼龄新 出入方便,香饵胡同,交道口,2室1厅 ,69.65, 南 北 , 简装 ,6, 2002年 , 板楼,34, 5个月以前发布,9980000.0,"143,288元/平",近地铁 VR看装修 房本满五年 
交道口  南北精装两居室 诚意出售,花梗胡同1号院,交道口,2室1厅 ,54.64, 南 北 , 精装 ,6, 1985年 , 板楼,20, 8个月以前发布,8660000.0,"158,492元/平",近地铁 VR看装修 房本满两年 
新景家园东区 2室1厅 东南,新景家园东区,崇文门,2室1厅 ,117.65, 东南 , 精装 ,13, 2008年 , 板塔结合,9, 5个月以前发布,13500000.0,"114,748元/平",近地铁 VR看装修 房本满五年 
安交，永康胡同1号院，精装修三居室，中间楼层,永康胡同1号院,安定门,3室1厅 ,84.5, 北 南 , 精装 ,7, 2002年 , 板楼,24, 6个月以前发布,12500000.0,"147,929元/平",近地铁 VR看装修 房本满两年 
法华南里  精装修南北通透大两居,法华南里,崇文门,2室1厅 ,81.77, 南 北 , 精装 ,6, 1994年 , 板楼,11, 3个月以前发布,8680000.0,"106,152元/平",近地铁 VR房源 随时看房 
东城区 龙体 幸福南里 温馨把边两居,幸福南里,广渠门,2室1厅 ,54.99, 南 西 北 , 精装 ,6, 1985年 , 板楼,12, 5个月以前发布,5980000.0,"108,748元/平",VR房源 房本满五年 
此房满五年唯一，南北通透，采光好无遮挡 中间楼层,幸福南里,广渠门,2室1厅 ,54.95, 南 北 , 简装 ,6, 1985年 , 板楼,42, 一年前发布,5280000.0,"96,088元/平",VR看装修 房本满五年 
东城区 郭庄北里 南北通透 好户型 无遮挡有钥匙随时看,郭庄北里,永定门,2室1厅 ,57.29, 南 北 , 简装 ,6, 1983年 , 板楼,52, 11个月以前发布,4890000.0,"85,356元/平",近地铁 VR房源 房本满五年 随时看房 
天坛东门---必看精装两居室，格局方正合理无浪费！,体育馆西路2号院,崇文门,2室1厅 ,60.72, 东 西 , 精装 ,6, 1990年 , 板楼,13, 5个月以前发布,5600000.0,"92,227元/平",近地铁 VR看装修 房本满两年 
广渠门外南街，属于东城，满五年唯一，电梯房,广渠门外南街,广渠门,1室1厅 ,46.8, 东 , 精装 ,12, 1992年 , 板塔结合,20, 7个月以前发布,4700000.0,"100,428元/平",近地铁 VR看装修 房本满五年 
东城广渠家园09年方正两居室 采光好 交通便利,广渠家园,广渠门,2室2厅 ,71.27, 西 , 精装 ,29, 2009年 , 板塔结合,6, 4个月以前发布,6800000.0,"95,412元/平",近地铁 VR房源 房本满五年 
满五唯一 有电梯 2013年商品房 精装修,京禧阁,广渠门,1室1厅 ,70.69, 东 , 精装 ,22, 2013年 , 塔楼,14, 5个月以前发布,7650000.0,"108,219元/平",VR房源 房本满五年 
东城永定门大2居 高层带电梯 满五年唯一 诚心卖,城市亮点,永定门,2室1厅 ,84.46, 东 , 其他 ,12, 2003年 , 板塔结合,24, 11个月以前发布,7460000.0,"88,326元/平",VR看装修 房本满五年 
西水井胡同，南北通透三居室，上半层，视野采光好,西水井胡同,朝阳门内,3室1厅 ,87.34, 南 北 , 简装 ,16, 2003年 , 板塔结合,30, 9个月以前发布,9600000.0,"109,916元/平",近地铁 VR看装修 房本满五年 
二环边，东城区，广渠门外南街，电梯直达，精装修,广渠门外南街,广渠门,2室2厅 ,68.11, 西 , 简装 ,12, 1992年 , 板塔结合,5, 5个月以前发布,6900000.0,"101,307元/平",近地铁 VR看装修 房本满两年 
东直门内北小街8号院  东西通透   电梯房    视野好,东直门内北小街8号院,东直门,1室1厅 ,63.22, 东 西 , 简装 ,13, 2003年 , 板塔结合,7, 6个月以前发布,6700000.0,"105,980元/平",近地铁 VR看装修 房本满五年 
房子是满五年，精装修，2012年社区，24小时物业和安保,上龙西里,安定门,2室1厅 ,79.68, 西北 , 简装 ,11, 2012年 , 板楼,37, 一年前发布,8070000.0,"101,281元/平",VR看装修 房本满五年 
东城2009年商品房小区，正规两居室，8号14号双地铁,华龙美晟,永定门,2室1厅 ,71.29, 东 南 , 简装 ,12, 2009年 , 板塔结合,110, 9个月以前发布,6480000.0,"90,897元/平",近地铁 VR看装修 房本满五年 
东城区安定门朝南向小三居，满五年,安外大街3号院,安定门,3室1厅 ,71.67, 南 西 , 精装 ,6, 1988年 , 板楼,25, 一年前发布,8000000.0,"111,623元/平",VR看装修 房本满五年 
纯商品社区，人车分流，户型方正，西向无遮挡,远洋德邑,广渠门,1室1厅 ,64.82, 西 , 简装 ,13, 2003年 , 板塔结合,35, 一年前发布,6460000.0,"99,661元/平",VR看装修 房本满五年 
海运仓 满五年中间位置 复式 采光充足 视野宽阔,海运仓小区,东直门,3室1厅 ,81.57, 南 北 , 其他 ,7, 2003年 , 板楼,8, 7个月以前发布,9800000.0,"120,143元/平",VR房源 房本满五年 
盛德紫阙，精装修，格局好，东向大两居，正对小区花园,盛德紫阙,和平里,2室1厅 ,115.29, 东 , 精装 ,20, 2017年 , 板塔结合,38, 8个月以前发布,12180000.0,"105,647元/平",近地铁 VR房源 房本满两年 
法华南里 2室1厅 南 北,法华南里,崇文门,2室1厅 ,82.41, 南 北 , 简装 ,6, 1995年 , 板楼,17, 5个月以前发布,8550000.0,"103,750元/平",近地铁 VR看装修 房本满五年 
富贵园一区 南北通透 小区中间位置 次顶层两居出售,富贵园一区,东花市,2室1厅 ,86.27, 南 北 , 精装 ,11, 2004年 , 板楼,49, 一年前发布,14000000.0,"162,282元/平",近地铁 VR看装修 房本满五年 
冠城名敦道A区正规一居室 东城区 东二环,冠城名敦道A区,广渠门,1室1厅 ,71.56, 东 , 精装 ,23, 2009年 , 塔楼,8, 一年前发布,6390000.0,"89,296元/平",VR看装修 房本满五年 
西草市东街甲34号院两居室，业主诚意出售,西草市东街甲34号院,天坛,2室1厅 ,48.64, 东 北 , 精装 ,6, 1990年 , 板楼,43, 一年前发布,4600000.0,"94,573元/平",近地铁 VR房源 房本满五年 
六铺炕，总监推荐青年湖附近两居室，非顶层,六铺炕,安定门,2室1厅 ,54.38, 东 西 , 简装 ,6, 1980年 , 板楼,9, 5个月以前发布,6750000.0,"124,127元/平",近地铁 VR看装修 房本满五年 
天坛公园旁东西通透两居室 满五唯一 诚心出售,金鱼池中区,天坛,2室1厅 ,72.43, 东 西 , 简装 ,7, 2002年 , 板楼,15, 7个月以前发布,6950000.0,"95,955元/平",VR房源 房本满五年 
西草市东街甲34号院，东西通透的二居室，业主诚心卖,西草市东街甲34号院,天坛,2室1厅 ,54.29, 东 西 , 简装 ,6, 1980年 , 板楼,6, 一年前发布,5500000.0,"101,308元/平",近地铁 VR看装修 房本满两年 
东城区 东直门东方银座 70年产权,东方银座,东直门,2室1厅 ,128.11, 北 , 简装 ,26, 2003年 , 塔楼,7, 5个月以前发布,9680000.0,"75,561元/平",VR房源 房本满两年 
朝阳门竹杆胡同精装两居中间层，满五唯一,竹杆胡同,朝阳门内,2室2厅 ,96.05, 西 东 , 精装 ,6, 2005年 , 板楼,3, 一年前发布,12900000.0,"134,306元/平",近地铁 VR房源 房本满五年 
北二环安定门2019年小区人车分流有地下车位,安外西河沿路1号院,安定门,2室1厅 ,92.67, 南 北 , 精装 ,15, 2019年 , 板塔结合,69, 一年前发布,12800000.0,"138,125元/平",VR看装修 房本满两年 
西四块玉 天坛东门 正规三居 随时签约,西四块玉,左安门,3室1厅 ,66.23, 东 西 , 精装 ,5, 1978年 , 板楼,6, 一年前发布,6300000.0,"95,124元/平",近地铁 VR看装修 房本满两年 
崇文区法华南里西向一居室，精装修,法华南里,崇文门,1室1厅 ,48.46, 西 , 简装 ,6, 1994年 , 板楼,5, 10个月以前发布,5300000.0,"109,369元/平",近地铁 VR看装修 房本满五年 
幸福家园三期 2室1厅 西北,幸福家园三期,广渠门,2室1厅 ,87.0, 西北 , 其他 ,18, 2005年 , 塔楼,13, 6个月以前发布,11500000.0,"132,184元/平",近地铁 VR看装修 房本满五年 
幸福家园三期 不临街 装修好 正对小区花园,幸福家园三期,广渠门,1室1厅 ,63.9, 西 , 精装 ,15, 2005年 , 板楼,12, 7个月以前发布,8500000.0,"133,021元/平",近地铁 VR房源 房本满五年 
领行国际 1室1厅 北,领行国际,广渠门,1室1厅 ,62.03, 北 , 简装 ,21, 2005年 , 板塔结合,2, 10个月以前发布,5900000.0,"95,116元/平",近地铁 VR房源 房本满五年 
芳嘉园胡同 南北2居室，满五唯一住房,芳嘉园胡同,朝阳门内,2室1厅 ,72.97, 南 北 , 简装 ,6, 2005年 , 板楼,12, 5个月以前发布,8100000.0,"111,005元/平",近地铁 VR看装修 房本满五年 
东城区永定门满五唯一南北通透三居,车站路6号院,陶然亭,3室1厅 ,68.85, 南 北 , 精装 ,6, 1980年 , 板楼,45, 5个月以前发布,5320000.0,"77,270元/平",VR看装修 房本满五年 
富贵园商品房 小区中间 南北 优品质 三轨交汇婚装两居,富贵园一区,东花市,2室2厅 ,87.67, 南 北 , 精装 ,10, 2003年 , 板楼,29, 一年前发布,13990000.0,"159,576元/平",VR房源 房本满五年 
广渠门外南街位置好+楼龄新+满五年+精装修+有电梯。,广渠门外南街,广渠门,3室1厅 ,90.13, 西南 , 精装 ,12, 1992年 , 板塔结合,21, 一年前发布,8990000.0,"99,745元/平",近地铁 VR看装修 房本满五年 
北京上舍  交通便利  正对小区安静不临街,北京上舍,广渠门,1室0厅 ,49.18, 北 , 精装 ,15, 2008年 , 塔楼,11, 8个月以前发布,5850000.0,"118,951元/平",VR看装修 房本满五年 
东城 和平里 甘水桥带电梯三居室,甘水桥,和平里,3室1厅 ,85.56, 东 西 , 简装 ,14, 1988年 , 板塔结合,3, 5个月以前发布,8950000.0,"104,605元/平",近地铁 VR看装修 房本满五年 
房子满五年唯一出售，东城区，采光佳,沙子口路65号,永定门,2室1厅 ,61.47, 东 南 西 北 , 精装 ,6, 1985年 , 板楼,13, 9个月以前发布,4150000.0,"67,513元/平",VR房源 房本满五年 
安德里北街25号院 3室1厅 东北,安德里北街25号院,安定门,3室1厅 ,78.87, 东北 , 精装 ,17, 1990年 , 塔楼,23, 一年前发布,8200000.0,"103,969元/平",近地铁 VR看装修 房本满五年 
东区3号楼大一居视野好开发商精装修保养好,中海紫御公馆,陶然亭,1室1厅 ,78.52, 西北 , 精装 ,21, 2010年 , 板塔结合,5, 一年前发布,10800000.0,"137,545元/平",VR房源 房本满五年 
"天天家园,大一室一厅，有电梯，",天天家园,永定门,1室1厅 ,72.91, 西北 , 精装 ,11, 2002年 , 塔楼,7, 5个月以前发布,5300000.0,"72,693元/平",近地铁 VR看装修 房本满五年 随时看房 
东城，景泰西里西区，05年社区，中高层，朝西两居,景泰西里西区,永定门,2室1厅 ,79.04, 西 , 简装 ,11, 2005年 , 板塔结合,23, 一年前发布,6300000.0,"79,707元/平",近地铁 VR房源 房本满五年 
东城区 二环内 商品房 满五年,左安浦园,左安门,2室1厅 ,64.91, 西 北 , 简装 ,18, 2004年 , 板楼,36, 9个月以前发布,5790000.0,"89,201元/平",VR看装修 房本满五年 
21年新装修，自住保养的好小区中间位置正对花园无遮挡,本家润园C区,东花市,1室1厅 ,47.86, 北 , 其他 ,18, 2005年 , 板塔结合,6, 11个月以前发布,5650000.0,"118,053元/平",近地铁 VR房源 房本满五年 
东城2009年商品房小区，正规两居室，8号14号双地铁,华龙美晟,永定门,2室1厅 ,71.29, 东 南 , 简装 ,12, 2009年 , 板塔结合,110, 9个月以前发布,6480000.0,"90,897元/平",近地铁 VR看装修 房本满五年 
东城区  东直门南大街  有电梯  满五年,东直门南大街,东直门,2室1厅 ,56.4, 西南 , 简装 ,18, 1991年 , 塔楼,11, 7个月以前发布,5990000.0,"106,206元/平",近地铁 VR看装修 房本满五年 
新奥洋房 通透两居室 满五年唯一 电梯房,新奥洋房,永定门,2室1厅 ,120.74, 东 西 北 , 简装 ,11, 2006年 , 板塔结合,22, 一年前发布,10100000.0,"83,651元/平",VR房源 房本满五年 
纯商品社区，人车分流，户型方正，西向无遮挡,远洋德邑,广渠门,1室1厅 ,64.82, 西 , 简装 ,13, 2003年 , 板塔结合,35, 一年前发布,6460000.0,"99,661元/平",VR看装修 房本满五年 
东城区 广渠家园 东南向3居 满五唯一 双地铁,广渠家园,广渠门,3室1厅 ,84.59, 东南 , 精装 ,28, 2009年 , 塔楼,87, 一年前发布,9200000.0,"108,760元/平",VR看装修 房本满五年 
